Estado,PAN,PRI_VERDE,PRD,NUEVA_ALIANZA,ALTERNATIVA,NO_REGISTRADOS,VOTOS_NULOS
Aguascalientes,188468,94569,87741,5509,16018,3245,7544
Baja California,427265,191938,212764,13345,34305,6160,16656
Baja California Sur,56248,27125,69822,1342,5075,1134,2808
Campeche,86639,74528,88816,7193,4542,1530,8358
Coahuila,383802,228760,212658,8161,25613,7761,14812
Colima,101720,71877,58256,1660,5085,757,4247
Chiapas,186373,340865,460910,6922,14040,7555,38374
Chihuahua,472258,287210,186778,17191,28908,5990,21498
Distrito Federal,1282217,401061,2726705,26997,170585,14359,68747
Durango,222333,125967,112713,5153,10477,5594,9032
Guanajuato,1090696,344230,282438,18010,47742,16437,46231
Guerrero,142063,209709,421252,9438,15866,6801,19734
Hidalgo,241264,219659,367997,14906,25238,6258,22799
Jalisco,1367994,665953,533165,36728,91323,15684,58560
México,1709909,989786,2368556,59355,209458,46537,98613
Michoacán,467207,239809,532748,7879,27873,9859,27742
Morelos,220266,107804,304090,12025,24164,6695,14585
Nayarit,61721,106093,135246,3581,7419,1631,5892
Nuevo León,838797,463936,272205,30155,50329,10968,37331
Oaxaca,199066,351848,536424,5388,18019,6995,35419
Puebla,714143,428362,610136,19897,49235,15515,50827
Querétaro,308191,124218,151809,5887,16012,5312,14257
Quintana Roo,103787,94680,133287,2612,8349,2527,6300
San Luis Potosi,416559,177203,185394,7930,22532,6938,31684
Sinaloa,297522,201755,253689,6150,18613,4675,16183
Sonora,422858,154287,213983,6632,21682,3013,15266
Tabasco,26091,271126,403166,1969,3701,1315,11048
Tamaulipas,464160,280879,298506,11656,23993,14860,23588
Tlaxcala,137152,58317,176517,3419,11007,6340,8737
Veracruz,915002,649375,942763,17052,53405,23920,64524
Yucatán,317147,220170,111184,4182,12210,6363,13712
Zacatecas,158296,115787,172788,5993,13148,8417,12209
