"Estado","Partido_2006","Partido_2012","Partido_2018"
"AGUASCALIENTES","PAN","PRD","MORENA"
"BAJA CALIFORNIA","PAN","PRI","PAN"
"BAJA CALIFORNIA SUR","PRD","PRI","PAN"
"CAMPECHE","PRD","PRD","PAN"
"CHIAPAS","PRD","PRI","MORENA"
"CHIHUAHUA","PAN","PRI","MORENA"
"CIUDAD DE MÉXICO","PRD","PAN","PAN"
"COAHUILA","PAN","PRD","PAN"
"COLIMA","PAN","PRD","PAN"
"DURANGO","PAN","PRI","PAN"
"GUANAJUATO","PAN","PRD","MORENA"
"GUERRERO","PRD","PRI","PAN"
"HIDALGO","PRD","PRI","PAN"
"JALISCO","PAN","PRD","PAN"
"MÉXICO","PRD","PRI","PAN"
"MICHOACÁN","PRD","PRI","PAN"
"MORELOS","PRD","PRI","PAN"
"NAYARIT","PRD","PRI","PAN"
"NUEVO LEÓN","PAN","PRD","MORENA"
"OAXACA","PRD","PRI","PAN"
"PUEBLA","PAN","PRD","PAN"
"QUERÉTARO","PAN","PRD","PRI"
"QUINTANA ROO","PRD","PRI","PAN"
"SAN LUIS POTOSÍ","PAN","PRD","PAN"
"SINALOA","PAN","PRI","PRI"
"SONORA","PAN","PRD","PAN"
"TABASCO","PRD","PRI","PAN"
"TAMAULIPAS","PAN","PRD","PAN"
"TLAXCALA","PRD","PRI","PAN"
"VERACRUZ","PRD","PAN","PAN"
"YUCATÁN","PAN","PRD","PAN"
"ZACATECAS","PRD","PRI","PAN"
